Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
Knockout round play-offs,,Thu,2023-02-16,18:45,Barcelona es,1.0,2–2,2.1,eng Manchester Utd,90225,Camp Nou,Maurizio Mariani,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,18:45,RB Salzburg at,0.8,1–0,1.8,it Roma,29520,Red Bull Arena,Dennis Higler,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,19:45,Shakhtar ua,1.9,2–1,1.7,fr Rennes,13415,Stadion Miejski Legii Warszawa im. Marsz...,Irfan Peljto,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,20:00,Sporting CP pt,2.6,1–1,0.2,dk Midtjylland,23279,Estádio José Alvalade,François Letexier,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,21:00,Juventus it,1.4,1–1,0.5,fr Nantes,41019,Allianz Stadium,João Pinheiro,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,21:00,Leverkusen de,1.8,2–3,0.7,fr Monaco,27864,BayArena,Orel Grinfeeld,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,21:00,Sevilla es,0.8,3–0,0.9,nl PSV Eindhoven,29593,Estadio Ramón Sánchez Pizjuán,Radu Petrescu,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-23,18:45,Midtjylland dk,0.4,0–4,1.9,pt Sporting CP,9576,MCH Arena,Ivan Kružliak,Match Report,Leg 2 of 2; Sporting CP won
Knockout round play-offs,,Thu,2023-02-23,18:45,Monaco fr,1.9,(3) 2–3 (5),2.3,de Leverkusen,8504,Stade Louis II.,Alejandro Hernández,Match Report,Leg 2 of 2; Leverkusen won; Leverkusen won on penalty kicks following extra time
Knockout round play-offs,,Thu,2023-02-23,18:45,PSV Eindhoven nl,1.7,2–0,0.7,es Sevilla,34000,Philips Stadion,Daniele Orsato,Match Report,Leg 2 of 2; Sevilla won
Knockout round play-offs,,Thu,2023-02-23,18:45,Nantes fr,0.6,0–3,3.1,it Juventus,44000,Stade de la Beaujoire - Louis Fonteneau,Jose Maria,Match Report,Leg 2 of 2; Juventus won
Knockout round play-offs,,Thu,2023-02-23,20:00,Manchester Utd eng,1.1,2–1,1.2,es Barcelona,73021,Old Trafford,Clément Turpin,Match Report,Leg 2 of 2; Manchester Utd won
Knockout round play-offs,,Thu,2023-02-23,21:00,Roma it,1.9,2–0,1.3,at RB Salzburg,62593,Stadio Olimpico,Slavko Vinčič,Match Report,Leg 2 of 2; Roma won
Knockout round play-offs,,Thu,2023-02-23,21:00,Rennes fr,2.4,(4) 2–1 (5),0.5,ua Shakhtar,27781,Roazhon Park,Tobias Stieler,Match Report,Leg 2 of 2; Shakhtar won; Shakhtar won on penalty kicks following extra time
